t_s,n,u1_pwm,u1_V,u1unsat_pwm,u1unsat_V,y1_rads,u2_ref,y2_rad,x1i,x2i,x1o,x2o

0,1,-1264,-10.0632074457495,-2299.34033203125,-0,0,-919.736083984375,0.00609814701601863,0,0,0,0
0.0025,2,-1264,-10.0632074457495,-3383.5966796875,-12,0,-1353.43872070312,0.0105522498488426,0,0,0,0
0.005,3,-1264,-10.0632074457495,-3757.13525390625,-12,-1.91424608230591,-1504.00268554688,0.0138055384159088,0,0,0,0
0.0075,4,-1264,-10.0632074457495,-3742.43823242188,-12,-2.31217861175537,-1498.36254882812,0.0161817502230406,0,0,0,0
0.01,5,-1264,-10.0632074457495,-3465.31713867188,-12,-4.30914688110352,-1388.71240234375,0.0177479479461908,0,0,0,0
0.0125,6,-1264,-10.0632074457495,-3140.89965820312,-12,-6.63852167129517,-1260.34301757812,0.0188919045031071,0,0,0,0
0.015,7,-1264,-10.0632074457495,-2827.11474609375,-12,-5.20850515365601,-1133.97094726562,0.0197274517267942,0,0,0,0
0.0175,8,-1264,-10.0632074457495,-2412.24951171875,-12,-6.82547998428345,-968.9951171875,0.0199989527463913,0,0,0,0
0.02,9,-1264,-10.0632074457495,-1981.30407714844,-10.3305446597328,-7.16161632537842,-796.818603515625,0.0198584720492363,0,0,0,0
0.0225,10,-1264,-10.0632074457495,-1507.63024902344,-11.0398697343731,-9.14573860168457,-608.53955078125,0.0192476846277714,0,0,0,0
0.025,11,-1052.00207519531,-9.05805536090078,-1052.00207519531,-9.05805536090078,-7.64395046234131,-425.38720703125,0.018293384462595,0,0,0,0
0.0275,12,-694.383544921875,-7.20795954882524,-694.383544921875,-7.20795954882524,-9.24600601196289,-283.301025390625,0.0172575768083334,0,0,0,0
0.03,13,-350.806945800781,-3.12029713173679,-350.806945800781,-3.12029713173679,-11.4932870864868,-147.21875,0.0159928407520056,0,0,0,0
0.0325,14,-106.684234619141,-0,-106.684234619141,-0,-10.0462036132812,-48.701416015625,0.0147302877157927,0,0,0,0
0.035,15,73.9613342285156,0,73.9613342285156,0,-9.74538516998291,23.7373046875,0.0134693291038275,0,0,0,0
0.0375,16,146.063888549805,0,146.063888549805,0,-9.68285083770752,52.6158447265625,0.0123789291828871,0,0,0,0
0.04,17,223.995712280273,0.597404761269642,223.995712280273,0.597404761269642,-11.5840978622437,82.6478271484375,0.011243712157011,0,0,0,0
0.0425,18,292.662048339844,1.8469553272103,292.662048339844,1.8469553272103,-8.15083503723145,112.17431640625,0.0100757610052824,0,0,0,0
0.045,19,301.312225341797,2.03099849049761,301.312225341797,2.03099849049761,-9.3513765335083,114.9140625,0.00905329268425703,0,0,0,0
0.0475,20,402.563354492188,4.18935916916033,402.563354492188,4.18935916916033,-9.60094451904297,155.264770507812,0.00779830012470484,0,0,0,0
0.05,21,422.190734863281,4.54747825383589,422.190734863281,4.54747825383589,-9.65282440185547,163.084594726562,0.00671225739642978,0,0,0,0
0.0525,22,461.039794921875,5.16541480530022,461.039794921875,5.16541480530022,-7.74936294555664,179.766296386719,0.00558022316545248,0,0,0,0
0.055,23,453.352844238281,5.05265501713038,453.352844238281,5.05265501713038,-9.26791858673096,175.780395507812,0.00458398927003145,0,0,0,0
0.0575,24,417.179382324219,4.45893210471614,417.179382324219,4.45893210471614,-7.669349193573,162.270141601562,0.0036869440227747,0,0,0,0
0.06,25,439.290313720703,4.83435440396499,439.290313720703,4.83435440396499,-7.33703899383545,171.313903808594,0.00269295391626656,0,0,0,0
0.0625,26,426.779266357422,4.6267812632218,426.779266357422,4.6267812632218,-5.35371255874634,167.499481201172,0.00179754802957177,0,0,0,0
0.065,27,469.958404541016,5.2906097229914,469.958404541016,5.2906097229914,-6.85566568374634,183.869964599609,0.000804755080025643,0,0,0,0
0.0675,28,472.125854492188,5.32014424618718,472.125854492188,5.32014424618718,-5.2536449432373,185.698150634766,-8.97765858098865e-05,0,0,0,0
0.07,29,459.794860839844,5.14746173045038,459.794860839844,5.14746173045038,-4.92061758041382,180.965560913086,-0.000912537972908467,0,0,0,0
0.0725,30,445.998443603516,4.94045173549778,445.998443603516,4.94045173549778,-6.76563405990601,174.339996337891,-0.00168287800624967,0,0,0,0
0.075,31,426.012725830078,4.61365156002724,426.012725830078,4.61365156002724,-3.3206832408905,168.412689208984,-0.00241492944769561,0,0,0,0
0.0775,32,418.029052734375,4.47408661304688,418.029052734375,4.47408661304688,-4.51879453659058,164.500335693359,-0.00311901466920972,0,0,0,0
0.08,33,351.178497314453,3.12843207010043,351.178497314453,3.12843207010043,-4.76785707473755,137.610687255859,-0.00363328051753342,0,0,0,0
0.0825,34,321.641479492188,2.47534913610642,321.641479492188,2.47534913610642,-2.90538620948792,126.913360595703,-0.00417829491198063,0,0,0,0
0.085,35,323.296630859375,2.51197286254501,323.296630859375,2.51197286254501,-4.43246269226074,126.6591796875,-0.00474576745182276,0,0,0,0
0.0875,36,273.128295898438,1.44870806968753,273.128295898438,1.44870806968753,-2.83566451072693,107.549926757812,-0.00516025116667151,0,0,0,0
0.09,37,269.284759521484,1.37377363760443,269.284759521484,1.37377363760443,-2.50372266769409,106.211669921875,-0.00563238421455026,0,0,0,0
0.0925,38,292.30517578125,1.83945009561963,292.30517578125,1.83945009561963,-2.43471884727478,115.461242675781,-0.0061466246843338,0,0,0,0
0.095,39,266.75830078125,1.32520609239982,266.75830078125,1.32520609239982,-2.42037439346313,105.251098632812,-0.00652222707867622,0,0,0,0
0.0975,40,280.430603027344,1.59436951275055,280.430603027344,1.59436951275055,-0.503146409988403,111.870361328125,-0.00696596084162593,0,0,0,0
0.1,41,259.251708984375,1.18428513061438,259.251708984375,1.18428513061438,-2.01883983612061,102.489379882812,-0.0072900652885437,0,0,0,0
0.1025,42,215.9853515625,0.482304074792855,215.9853515625,0.482304074792855,-0.419675558805466,86.142333984375,-0.00752679212018847,0,0,0,0
0.105,43,234.079223632812,0.75202420053576,234.079223632812,0.75202420053576,-0.0872419774532318,93.579345703125,-0.00786909088492393,0,0,0,0
0.1075,44,221.445663452148,0.560021435596877,221.445663452148,0.560021435596877,-0.0181358251720667,88.5673828125,-0.00811910629272461,0,0,0,0
0.11,45,198.144348144531,0.25018110181088,198.144348144531,0.25018110181088,-1.91801619529724,78.10693359375,-0.00830171909183264,0,0,0,0
0.1125,46,166.1806640625,0,166.1806640625,0,-0.398716390132904,66.2330322265625,-0.00843510031700134,0,0,0,0
0.115,47,137.957885742188,0,137.957885742188,0,-0.0828849896788597,55.1334228515625,-0.00853252224624157,0,0,0,0
0.1175,48,114.705108642578,0,114.705108642578,0,-0.0172300953418016,45.8717041015625,-0.00860367901623249,0,0,0,0
0.12,49,97.1260375976562,0,97.1260375976562,0,-0.00358178489841521,38.8482666015625,-0.00865565240383148,0,0,0,0
0.1225,50,85.2272491455078,0,85.2272491455078,0,-0.00074457994196564,34.0904541015625,-0.00869361311197281,0,0,0,0
0.125,51,78.5796356201172,0,78.5796356201172,0,-0.000154782959725708,31.4317626953125,-0.00872134044766426,0,0,0,0
0.1275,52,76.5475921630859,0,76.5475921630859,0,-3.21762163366657e-05,30.6190185546875,-0.00874159298837185,0,0,0,0
0.13,53,142.306838989258,0,142.306838989258,0,-6.68877828502445e-06,56.9227294921875,-0.00892577785998583,0,0,0,0
0.1325,54,177.565307617188,0.0218533726821901,177.565307617188,0.0218533726821901,-1.39046039748791e-06,71.026123046875,-0.00906030647456646,0,0,0,0
0.135,55,195.809326171875,0.222212775813285,195.809326171875,0.222212775813285,-2.89048301738148e-07,78.32373046875,-0.00915856659412384,0,0,0,0
