t_s,n,u1_pwm,u1_V,u1unsat_pwm,u1unsat_V,y1_rads,u2_ref,y2_rad,x1i,x2i,x1o,x2o

0,1,-830.5869140625,-7.94639710147289,-830.5869140625,-7.94639710147289,0,-332.209838867188,0.00237150164321065,0,0,0,0
0.0025,2,-1066.77661132812,-9.13043587035949,-1066.77661132812,-9.13043587035949,0,-426.628784179688,0.00393425952643156,0,0,0,0
0.005,3,-1088.91625976562,-9.2384110756766,-1088.91625976562,-9.2384110756766,0,-435.419982910156,0.00507570244371891,0,0,0,0
0.0075,4,-1020.25402832031,-8.90172120022747,-1020.25402832031,-8.90172120022747,-1.91424608230591,-409.040466308594,0.00590941542759538,0,0,0,0
0.01,5,-928.310607910156,-8.44352047258425,-928.310607910156,-8.44352047258425,-2.31217861175537,-372.443542480469,0.00651836162433028,0,0,0,0
0.0125,6,-783.5751953125,-7.70072838421824,-783.5751953125,-7.70072838421824,-0.480654716491699,-313.399230957031,0.00679374486207962,0,0,0,0
0.015,7,-624.497314453125,-6.76893128651517,-624.497314453125,-6.76893128651517,-3.92841053009033,-251.794677734375,0.0068254922516644,0,0,0,0
0.0175,8,-546.334838867188,-6.15185658196484,-546.334838867188,-6.15185658196484,-2.73088240623474,-219.776306152344,0.00684868078678846,0,0,0,0
0.02,9,-449.891418457031,-5.00037740091267,-449.891418457031,-5.00037740091267,-2.48194074630737,-181.019897460938,0.00669622514396906,0,0,0,0
0.0225,10,-356.540222167969,-3.24534496425692,-356.540222167969,-3.24534496425692,-2.43019080162048,-143.624389648438,0.00641547795385122,0,0,0,0
0.025,11,-333.571411132812,-2.73979887889315,-333.571411132812,-2.73979887889315,-2.41943311691284,-134.409912109375,0.00621041934937239,0,0,0,0
0.0275,12,-282.269714355469,-1.63169525115609,-282.269714355469,-1.63169525115609,-4.33144283294678,-115.018249511719,0.00589125091210008,0,0,0,0
0.03,13,-229.816040039062,-0.685330511850347,-229.816040039062,-0.685330511850347,-2.81466460227966,-93.1116333007812,0.00548873655498028,0,0,0,0
0.0325,14,-237.004791259766,-0.798907648984715,-237.004791259766,-0.798907648984715,-2.49935722351074,-95.7841796875,0.00519473850727081,0,0,0,0
0.035,15,-210.708343505859,-0.410197072930509,-210.708343505859,-0.410197072930509,-2.43381142616272,-85.2130737304688,0.00481060892343521,0,0,0,0
0.0375,16,-231.154418945312,-0.706060022818918,-231.154418945312,-0.706060022818918,-2.42018580436707,-93.3703002929688,0.00453003961592913,0,0,0,0
0.04,17,-213.468032836914,-0.447540175947062,-213.468032836914,-0.447540175947062,-0.503107190132141,-85.13232421875,0.00415571825578809,0,0,0,0
0.0425,18,-233.283996582031,-0.739437018514786,-233.283996582031,-0.739437018514786,-2.01883172988892,-93.9548950195312,0.00388231268152595,0,0,0,0
0.045,19,-271.091430664062,-1.40884197485905,-271.091430664062,-1.40884197485905,-2.33392000198364,-109.252014160156,0.00368261663243175,0,0,0,0
0.0475,20,-253.314895629883,-1.07658871627521,-253.314895629883,-1.07658871627521,-2.39942026138306,-102.165191650391,0.00336736510507762,0,0,0,0
0.05,21,-271.516784667969,-1.41713851990923,-271.516784667969,-1.41713851990923,-2.41303658485413,-109.438598632812,0.00313710444606841,0,0,0,0
0.0525,22,-306.230895996094,-2.13724643349675,-306.230895996094,-2.13724643349675,-0.501621007919312,-122.160247802734,0.00296892155893147,0,0,0,0
0.055,23,-279.305969238281,-1.57166749798128,-279.305969238281,-1.57166749798128,-2.0185227394104,-112.283020019531,0.00267668720334768,0,0,0,0
0.0575,24,-293.317504882812,-1.86075928746002,-293.317504882812,-1.86075928746002,-0.419609636068344,-116.911270141602,0.00246323854662478,0,0,0,0
0.06,25,-316.873413085938,-2.37009719997674,-316.873413085938,-2.37009719997674,-2.00147438049316,-127.264617919922,0.0023073349148035,0,0,0,0
0.0625,26,-348.757507324219,-3.07535684172232,-348.757507324219,-3.07535684172232,-0.416065633296967,-139.047225952148,0.00219346256926656,0,0,0,0
0.065,27,-374.611267089844,-3.6307146139779,-374.611267089844,-3.6307146139779,-2.00073766708374,-150.317993164062,0.00211028987541795,0,0,0,0
0.0675,28,-342.762756347656,-2.94332721609541,-342.762756347656,-2.94332721609541,-0.415912479162216,-136.606353759766,0.00188014737796038,0,0,0,0
0.07,29,-340.851806640625,-2.90109479811627,-340.851806640625,-2.90109479811627,-2.00070571899414,-136.772537231445,0.0017120506381616,0,0,0,0
0.0725,30,-358.436462402344,-3.28645536332329,-358.436462402344,-3.28645536332329,-0.415905863046646,-142.834716796875,0.00158927240408957,0,0,0,0
0.075,31,-378.915161132812,-3.72002844658084,-378.915161132812,-3.72002844658084,-0.086458332836628,-150.806549072266,0.00149959477130324,0,0,0,0
0.0775,32,-336.906585693359,-2.81374825405909,-336.906585693359,-2.81374825405909,-1.9322190284729,-135.089279174805,0.00126470113173127,0,0,0,0
0.08,33,-336.343475341797,-2.80126791732059,-336.343475341797,-2.80126791732059,-0.401668876409531,-133.925704956055,0.00109313405118883,0,0,0,0
0.0825,34,-349.557403564453,-3.09291054785717,-349.557403564453,-3.09291054785717,-0.0834987536072731,-138.999938964844,0.000967821048106998,0,0,0,0
0.085,35,-364.707580566406,-3.42138654603565,-364.707580566406,-3.42138654603565,-1.93160378932953,-146.147644042969,0.000876292062457651,0,0,0,0
0.0875,36,-385.205932617188,-3.84855903582497,-385.205932617188,-3.84855903582497,-0.401540964841843,-153.406646728516,0.00080943905049935,0,0,0,0
0.09,37,-342.781921386719,-2.94375046469389,-342.781921386719,-2.94375046469389,-0.0834721624851227,-136.224517822266,0.000591216492466629,0,0,0,0
0.0925,38,-335.781066894531,-2.78880065146554,-335.781066894531,-2.78880065146554,-0.017352158203721,-133.364288330078,0.000431826134445146,0,0,0,0
0.095,39,-344.321380615234,-2.97772685690028,-344.321380615234,-2.97772685690028,-0.00360715924762189,-136.751907348633,0.000315406970912591,0,0,0,0
0.0975,40,-358.302734375,-3.28356056392942,-358.302734375,-3.28356056392942,-0.000749854720197618,-142.321807861328,0.000230374105740339,0,0,0,0
0.1,41,-372.902893066406,-3.59497089510368,-372.902893066406,-3.59497089510368,-0.000155879475641996,-148.139739990234,0.000168265876709484,0,0,0,0
0.1025,42,-386.055511474609,-3.86572436326787,-386.055511474609,-3.86572436326787,-3.24041575368028e-05,-153.37809753418,0.000122901852591895,0,0,0,0
0.105,43,-394.204895019531,-4.02790904540611,-394.204895019531,-4.02790904540611,-1.91425287723541,-157.76318359375,8.97678473847918e-05,0,0,0,0
0.1075,44,-346.008117675781,-3.01490040317138,-346.008117675781,-3.01490040317138,-0.397934079170227,-137.552719116211,-0.000103826285339892,0,0,0,0
0.11,45,-332.305297851562,-2.71171217916685,-332.305297851562,-2.71171217916685,-0.0827223658561707,-131.862289428711,-0.000245227973209694,0,0,0,0
0.1125,46,-334.647888183594,-2.76367430052247,-334.647888183594,-2.76367430052247,-0.0171962901949883,-132.740173339844,-0.000348508125171065,0,0,0,0
0.115,47,-343.202575683594,-2.9530387465681,-343.202575683594,-2.9530387465681,-0.0035747573710978,-136.133697509766,-0.000423944235080853,0,0,0,0
0.1175,48,-353.111633300781,-3.17069099036266,-353.111633300781,-3.17069099036266,-0.000743119046092033,-140.074905395508,-0.000479042995721102,0,0,0,0
0.12,49,-362.196350097656,-3.36755405177799,-362.196350097656,-3.36755405177799,-0.000154479275806807,-143.687164306641,-0.000519287306815386,0,0,0,0
0.1225,50,-369.650817871094,-3.52649452732341,-369.650817871094,-3.52649452732341,-3.21130864904262e-05,-146.647094726562,-0.000548681826330721,0,0,0,0
0.125,51,-375.332733154297,-3.64576077879266,-375.332733154297,-3.64576077879266,-6.67565473122522e-06,-148.897674560547,-0.000570151663850993,0,0,0,0
0.1275,52,-379.390930175781,-3.72983469379006,-379.390930175781,-3.72983469379006,-1.38773225444311e-06,-150.498504638672,-0.000585833273362368,0,0,0,0
0.13,53,-382.077239990234,-3.78494426599065,-382.077239990234,-3.78494426599065,-2.88481174948174e-07,-151.550369262695,-0.000597287202253938,0,0,0,0
0.1325,54,-383.656311035156,-3.81712913742819,-383.656311035156,-3.81712913742819,-5.99693450453742e-08,-152.159225463867,-0.000605653156526387,0,0,0,0
0.135,55,-384.367156982422,-3.8315659375019,-384.367156982422,-3.8315659375019,-1.24664021328158e-08,-152.420715332031,-0.000611763680353761,0,0,0,0
0.1375,56,-384.410217285156,-3.83243942073098,-384.410217285156,-3.83243942073098,-2.59151033965566e-09,-152.415069580078,-0.000616226810961962,0,0,0,0
0.14,57,-383.946380615234,-3.82302416606243,-383.946380615234,-3.82302416606243,-5.38722066956154e-10,-152.206695556641,-0.00061948667280376,0,0,0,0
0.1425,58,-383.101501464844,-3.80583890238939,-383.101501464844,-3.80583890238939,-1.11989313655858e-10,-151.845947265625,-0.000621867715381086,0,0,0,0
0.145,59,-381.972229003906,-3.78279834694392,-381.972229003906,-3.78279834694392,-2.32802908894936e-11,-151.371490478516,-0.000623606843873858,0,0,0,0
0.1475,60,-380.631713867188,-3.7553444433105,-380.631713867188,-3.7553444433105,-4.83949685881058e-12,-150.812622070312,-0.000624877051450312,0,0,0,0
0.15,61,-379.134826660156,-3.72455774329385,-379.134826660156,-3.72455774329385,-1.00603249689191e-12,-150.191299438477,-0.000625804881565273,0,0,0,0
0.1525,62,-377.522705078125,-3.69125043169375,-377.522705078125,-3.69125043169375,-2.09133600194422e-13,-149.523971557617,-0.000626482535153627,0,0,0,0
0.155,63,-375.825622558594,-3.65602303525559,-375.825622558594,-3.65602303525559,-4.34746029866033e-14,-148.82275390625,-0.000626977533102036,0,0,0,0
0.1575,64,-314.738433837891,-2.32312292223338,-314.738433837891,-2.32312292223338,-9.0374815582008e-15,-124.367385864258,-0.000796732027083635,0,0,0,0
0.16,65,-291.824584960938,-1.82935486670986,-291.824584960938,-1.82935486670986,-1.87870785382349e-15,-115.183868408203,-0.000920721155125648,0,0,0,0
0.1625,66,-286.896209716797,-1.72665067547273,-286.896209716797,-1.72665067547273,-3.90544975001448e-16,-113.195388793945,-0.00101128313690424,0,0,0,0
0.165,67,-289.510803222656,-1.78094712966865,-289.510803222656,-1.78094712966865,-8.11863212842016e-17,-114.224166870117,-0.00107742985710502,0,0,0,0
0.1675,68,-294.47314453125,-1.88515709303816,-294.47314453125,-1.88515709303816,-1.6876977618448e-17,-116.191818237305,-0.00112574361264706,0,0,0,0
0.17,69,-299.363159179688,-1.98919532021632,-299.363159179688,-1.98919532021632,-3.50837903466403e-18,-118.130264282227,-0.00116103212349117,0,0,0,0
0.1725,70,-303.190216064453,-2.07144293887483,-303.190216064453,-2.07144293887483,-7.29320338100694e-19,-119.643249511719,-0.00118680694140494,0,0,0,0
0.175,71,-305.669769287109,-2.12507487186579,-305.669769287109,-2.12507487186579,-1.51610806698153e-19,-120.617050170898,-0.00120563292875886,0,0,0,0
0.1775,72,-306.84228515625,-2.15052211892685,-306.84228515625,-2.15052211892685,-3.15167897974465e-20,-121.067932128906,-0.00121938344091177,0,0,0,0
0.18,73,-306.877624511719,-2.15128991171069,-306.877624511719,-2.15128991171069,-6.55169696642333e-21,-121.063903808594,-0.00122942682355642,0,0,0,0
0.1825,74,-305.979125976562,-2.13178369366428,-305.979125976562,-2.13178369366428,-1.36196398573011e-21,-120.68635559082,-0.00123676261864603,0,0,0,0
0.185,75,-304.339965820312,-2.09627994712395,-304.339965820312,-2.09627994712395,-2.83124501290326e-22,-120.012649536133,-0.00124212075024843,0,0,0,0
0.1875,76,-302.126953125,-2.04852510429875,-302.126953125,-2.04852510429875,-5.88558014223851e-23,-119.109497070312,-0.00124603428412229,0,0,0,0
0.19,77,-299.475860595703,-1.99160755742944,-299.475860595703,-1.99160755742944,-1.22349186733376e-23,-118.031280517578,-0.00124889274593443,0,0,0,0
0.1925,78,-296.494140625,-1.92800244137857,-296.494140625,-1.92800244137857,-2.54338971591977e-24,-116.820983886719,-0.00125098065473139,0,0,0,0
0.195,79,-293.264953613281,-1.85965163765264,-293.264953613281,-1.85965163765264,-5.28718786848151e-25,-115.511871337891,-0.001252505579032,0,0,0,0
0.1975,80,-289.851409912109,-1.78805245737876,-289.851409912109,-1.78805245737876,-1.09909832882906e-25,-114.12922668457,-0.00125361932441592,0,0,0,0
0.2,81,-286.301177978516,-1.71435613340913,-286.301177978516,-1.71435613340913,-2.28480095095095e-26,-112.692123413086,-0.00125443283468485,0,0,0,0
0.2025,82,-282.649810791016,-1.63944008266375,-282.649810791016,-1.63944008266375,-4.74963444346651e-27,-111.214782714844,-0.00125502701848745,0,0,0,0
0.205,83,-278.923828125,-1.56397517391956,-278.923828125,-1.56397517391956,-9.87351963817924e-28,-109.707809448242,-0.00125546101480722,0,0,0,0
0.2075,84,-275.142761230469,-1.48847121201533,-275.142761230469,-1.48847121201533,-2.05250302329734e-28,-108.179046630859,-0.00125577813014388,0,0,0,0
0.21,85,-271.321258544922,-1.41332288712003,-271.321258544922,-1.41332288712003,-4.2667343886712e-29,-106.634338378906,-0.00125600968021899,0,0,0,0
0.2125,86,-267.469879150391,-1.33882872449961,-267.469879150391,-1.33882872449961,-8.86966949040075e-30,-105.077911376953,-0.00125617883168161,0,0,0,0
0.215,87,-263.596496582031,-1.26522148516007,-263.596496582031,-1.26522148516007,-1.84382307457552e-30,-103.512908935547,-0.00125630234833807,0,0,0,0
0.2175,88,-259.706726074219,-1.19267874775118,-259.706726074219,-1.19267874775118,-3.83293160853979e-31,-101.941604614258,-0.00125639257021248,0,0,0,0
0.22,89,-255.804962158203,-1.12134439166228,-255.804962158203,-1.12134439166228,-7.96788215779031e-32,-100.36572265625,-0.00125645846128464,0,0,0,0
0.2225,90,-251.894165039062,-1.05132615114577,-251.894165039062,-1.05132615114577,-1.6563599962585e-32,-98.7864685058594,-0.00125650665722787,0,0,0,0
0.225,91,-247.976638793945,-0.982711217686408,-247.976638793945,-0.982711217686408,-3.44323417519964e-33,-97.2047576904297,-0.00125654181465507,0,0,0,0
0.2275,92,-244.054092407227,-0.915568171128274,-244.054092407227,-0.915568171128274,-7.15778071176373e-34,-95.6212768554688,-0.00125656742602587,0,0,0,0
0.23,93,-240.127716064453,-0.849949200000168,-240.127716064453,-0.849949200000168,-1.4879563613052e-34,-94.0364990234375,-0.00125658616889268,0,0,0,0
0.2325,94,-295.525939941406,-1.90744871277565,-295.525939941406,-1.90744871277565,-3.09315726384538e-35,-116.180023193359,-0.00108720688149333,0,0,0,0
0.235,95,-312.702575683594,-2.2784380107982,-312.702575683594,-2.2784380107982,-6.43004234717e-36,-123.032730102539,-0.000963491795118898,0,0,0,0
0.2375,96,-311.858062744141,-2.25993609617923,-311.858062744141,-2.25993609617923,-1.33667443552353e-36,-122.676498413086,-0.000873129989486188,0,0,0,0
0.24,97,-303.444183349609,-2.07692432093809,-303.444183349609,-2.07692432093809,-2.77867306443566e-37,-119.292793273926,-0.000807129486929625,0,0,0,0
0.2425,98,-292.663024902344,-1.84697587510904,-292.663024902344,-1.84697587510904,-5.7762935208321e-38,-114.962768554688,-0.000758922542445362,0,0,0,0
0.245,99,-281.939758300781,-1.624980498998,-281.939758300781,-1.624980498998,-1.20077349485901e-38,-110.656539916992,-0.000723712029866874,0,0,0,0
0.2475,100,-272.268676757812,-1.43184126580182,-272.268676757812,-1.43184126580182,-2.49616238176955e-39,-106.771789550781,-0.000697994197253138,0,0,0,0
0.25,101,-323.264526367188,-2.51126214149293,-323.264526367188,-2.51126214149293,-5.1890082133948e-40,-127.15259552002,-0.000509816862177104,0,0,0,0
0.2525,102,-337.342041015625,-2.82339746786475,-337.342041015625,-2.82339746786475,-1.07869153186796e-40,-132.764099121094,-0.000372371607227251,0,0,0,0
0.255,103,-334.532653808594,-2.76111875210827,-334.532653808594,-2.76111875210827,-2.24235780261257e-41,-131.620513916016,-0.00027198123279959,0,0,0,0
0.2575,104,-325.085601806641,-2.55159505560696,-325.085601806641,-2.55159505560696,-4.66071869234434e-42,-127.822235107422,-0.000198655834537931,0,0,0,0
0.26,105,-314.010162353516,-2.30712526699696,-314.010162353516,-2.30712526699696,-9.68297238848449e-43,-123.373222351074,-0.000145098762004636,0,0,0,0
0.2625,106,-303.565246582031,-2.07953820719332,-303.565246582031,-2.07953820719332,-2.01786978862774e-43,-119.177062988281,-0.000105980529042426,0,0,0,0
0.265,107,-353.937133789062,-3.18870129351665,-353.937133789062,-3.18870129351665,-4.20389539297445e-44,-139.306427001953,9.19845042517409e-05,0,0,0,0
0.2675,108,-367.758850097656,-3.48640607638998,-367.758850097656,-3.48640607638998,-8.4077907859489e-45,-144.81379699707,0.000236578693147749,0,0,0,0
0.27,109,-365.109008789062,-3.42996558183249,-365.109008789062,-3.42996558183249,-1.40129846432482e-45,-143.732223510742,0.000342190673109144,0,0,0,0
0.2725,110,-356.207580566406,-3.23811973545617,-356.207580566406,-3.23811973545617,0,-140.150360107422,0.00041932996828109,0,0,0,0
0.275,111,-346.006530761719,-3.01486545783638,-346.006530761719,-3.01486545783638,0,-136.049224853516,0.000475672713946551,0,0,0,0
0.2775,112,-336.70263671875,-2.80922839323681,-336.70263671875,-2.80922839323681,0,-132.307525634766,0.000516825588420033,0,0,0,0
0.28,113,-388.42529296875,-3.91335279348243,-388.42529296875,-3.91335279348243,0,-152.975189208984,0.00071627669967711,0,0,0,0
0.2825,114,-403.759490966797,-4.2120398487571,-403.759490966797,-4.2120398487571,0,-159.085464477539,0.000861956388689578,0,0,0,0
0.285,115,-402.745086669922,-4.19281205938675,-402.745086669922,-4.19281205938675,0,-158.655868530273,0.000968361215200275,0,0,0,0
0.2875,116,-395.571685791016,-4.05465743757434,-395.571685791016,-4.05465743757434,0,-155.762924194336,0.00104607956018299,0,0,0,0
0.29,117,-387.167907714844,-3.88812807081342,-387.167907714844,-3.88812807081342,0,-152.378295898438,0.00110284530092031,0,0,0,0
0.2925,118,-379.712860107422,-3.73646236553975,-379.712860107422,-3.73646236553975,0,-149.373641967773,0.00114430719986558,0,0,0,0
0.295,119,-373.994812011719,-3.61783533942139,-373.994812011719,-3.61783533942139,0,-147.064193725586,0.00117459101602435,0,0,0,0
0.2975,120,-370.135894775391,-3.53674354191672,-370.135894775391,-3.53674354191672,0,-145.498672485352,0.00119671039283276,0,0,0,0
0.3,121,-367.968505859375,-3.49085720854129,-367.968505859375,-3.49085720854129,0,-144.609954833984,0.0012128665111959,0,0,0,0
0.3025,122,-426.552856445312,-4.6229081421267,-426.552856445312,-4.6229081421267,0,-168.020248413086,0.00139405985828489,0,0,0,0
0.305,123,-448.064880371094,-4.97241065985969,-448.064880371094,-4.97241065985969,0,-176.599227905273,0.00152640393935144,0,0,0,0
0.3075,124,-452.455871582031,-5.03919842532379,-452.455871582031,-5.03919842532379,0,-178.328994750977,0.00162306847050786,0,0,0,0
0.31,125,-449.969177246094,-5.00156213847713,-449.969177246094,-5.00156213847713,0,-177.307647705078,0.00169367250055075,0,0,0,0
0.3125,126,-445.64013671875,-4.93487569941576,-445.64013671875,-4.93487569941576,0,-175.549560546875,0.001745241926983,0,0,0,0
0.315,127,-441.763427734375,-4.87388973303274,-441.763427734375,-4.87388973303274,0,-173.97265625,0.00178290833719075,0,0,0,0
0.3175,128,-439.233520507812,-4.83344072323653,-439.233520507812,-4.83344072323653,0,-172.934677124023,0.00181042007170618,0,0,0,0
0.32,129,-438.261901855469,-4.81776920045297,-438.261901855469,-4.81776920045297,0,-172.520111083984,0.00183051452040672,0,0,0,0
0.3225,130,-438.753356933594,-4.82570553537738,-438.753356933594,-4.82570553537738,0,-172.690795898438,0.00184519169852138,0,0,0,0
0.325,131,-440.497161865234,-4.85370859754508,-440.497161865234,-4.85370859754508,0,-173.362365722656,0.00185591191984713,0,0,0,0
0.3275,132,-443.259674072266,-4.89757028780058,-443.259674072266,-4.89757028780058,0,-174.441284179688,0.00186374201439321,0,0,0,0
0.33,133,-446.825042724609,-4.95327641939602,-446.825042724609,-4.95327641939602,0,-175.841156005859,0.00186946103349328,0,0,0,0
0.3325,134,-451.010345458984,-5.01737950164933,-451.010345458984,-5.01737950164933,0,-177.48876953125,0.00187363824807107,0,0,0,0
0.335,135,-455.667327880859,-5.08708723469574,-455.667327880859,-5.08708723469574,0,-179.324798583984,0.00187668926082551,0,0,0,0
0.3375,136,-460.679718017578,-5.16023433612757,-460.679718017578,-5.16023433612757,0,-181.302703857422,0.00187891791574657,0,0,0,0
0.34,137,-465.957763671875,-5.23518684401966,-465.957763671875,-5.23518684401966,0,-183.386566162109,0.00188054563477635,0,0,0,0
0.3425,138,-471.433502197266,-5.31074727455288,-471.433502197266,-5.31074727455288,0,-185.549194335938,0.00188173446804285,0,0,0,0
0.345,139,-477.055877685547,-5.38605635881128,-477.055877685547,-5.38605635881128,0,-187.770141601562,0.00188260292634368,0,0,0,0
0.3475,140,-482.786590576172,-5.46050912603978,-482.786590576172,-5.46050912603978,0,-190.034088134766,0.00188323715701699,0,0,0,0
0.35,141,-488.597351074219,-5.53369512668362,-488.597351074219,-5.53369512668362,0,-192.329711914062,0.00188370048999786,0,0,0,0
0.3525,142,-435.139404296875,-4.76688960027658,-435.139404296875,-4.76688960027658,0,-170.919296264648,0.00171464588493109,0,0,0,0
0.355,143,-419.944213867188,-4.50803323808633,-419.944213867188,-4.50803323808633,0,-164.816040039062,0.00159116787835956,0,0,0,0
0.3575,144,-422.800537109375,-4.55811526664816,-422.800537109375,-4.55811526664816,0,-165.93376159668,0.00150097929872572,0,0,0,0
0.36,145,-433.248413085938,-4.73569355830186,-433.248413085938,-4.73569355830186,0,-170.087707519531,0.00143510522320867,0,0,0,0
0.3625,146,-446.079956054688,-4.94171881862378,-446.079956054688,-4.94171881862378,0,-175.194427490234,0.00138699065428227,0,0,0,0
0.365,147,-458.86572265625,-5.13398542046907,-458.86572265625,-5.13398542046907,0,-180.282073974609,0.00135184766259044,0,0,0,0
0.3675,148,-529.935791015625,-5.99423621990277,-529.935791015625,-5.99423621990277,0,-208.680923461914,0.00149557203985751,0,0,0,0
0.37,149,-561.453979492188,-6.28684724001664,-561.453979492188,-6.28684724001664,0,-221.255966186523,0.00160054885782301,0,0,0,0
0.3725,150,-573.657043457031,-6.38945525242759,-573.657043457031,-6.38945525242759,0,-226.103622436523,0.00167722417972982,0,0,0,0
0.375,151,-574.291625976562,-6.39464886360947,-574.291625976562,-6.39464886360947,-1.91424608230591,-227.472137451172,0.00173322786577046,0,0,0,0
0.3775,152,-576.778686523438,-6.41487457858406,-576.778686523438,-6.41487457858406,-0.397932648658752,-227.523223876953,0.00177413318306208,0,0,0,0
0.38,153,-576.787902832031,-6.41494915021276,-576.787902832031,-6.41494915021276,-0.0827220678329468,-227.3037109375,0.00180401047691703,0,0,0,0
0.3825,154,-576.905883789062,-6.41590352073773,-576.905883789062,-6.41590352073773,-0.0171962287276983,-227.27751159668,0.00182583299465477,0,0,0,0
0.385,155,-577.851440429688,-6.42353594091304,-577.851440429688,-6.42353594091304,-0.00357474479824305,-227.613433837891,0.00184177234768867,0,0,0,0
0.3875,156,-579.754455566406,-6.43880944484025,-579.754455566406,-6.43880944484025,-0.000743116426747292,-228.338745117188,0.00185341434553266,0,0,0,0
0.39,157,-523.214538574219,-5.92588474429038,-523.214538574219,-5.92588474429038,-0.000154478722834028,-205.689865112305,0.00169252476189286,0,0,0,0
0.3925,158,-502.769836425781,-5.70293407739131,-502.769836425781,-5.70293407739131,-1.9142781496048,-198.630264282227,0.0015750105958432,0,0,0,0
0.395,159,-506.093292236328,-5.74081109163928,-506.093292236328,-5.74081109163928,-0.397939324378967,-199.020202636719,0.00148917792830616,0,0,0,0
0.3975,160,-515.655944824219,-5.84619110986078,-515.655944824219,-5.84619110986078,-0.0827234536409378,-202.626037597656,0.00142648548353463,0,0,0,0
0.4,161,-524.701904296875,-5.9412095210755,-524.701904296875,-5.9412095210755,-1.93144261837006,-207.323059082031,0.00138069479726255,0,0,0,0
0.4025,162,-539.032775878906,-6.08320611628378,-539.032775878906,-6.08320611628378,-0.401507467031479,-212.106155395508,0.00134724914096296,0,0,0,0
0.405,163,-550.700561523438,-6.19179255763021,-550.700561523438,-6.19179255763021,-0.0834652036428452,-216.550323486328,0.00132282031700015,0,0,0,0
0.4075,164,-557.933654785156,-6.25623061052914,-557.933654785156,-6.25623061052914,-1.93159675598145,-220.519821166992,0.00130497745703906,0,0,0,0
0.41,165,-509.720123291016,-5.78139791608387,-509.720123291016,-5.78139791608387,-0.401539504528046,-200.284973144531,0.00112255197018385,0,0,0,0
0.4125,166,-493.988830566406,-5.59958944876084,-493.988830566406,-5.59958944876084,-1.99771797657013,-194.920700073242,0.000989307882264256,0,0,0,0
0.415,167,-500.177185058594,-5.67292081800176,-500.177185058594,-5.67292081800176,-0.415284752845764,-196.417419433594,0.000891986128408462,0,0,0,0
0.4175,168,-511.362030029297,-5.79952058428556,-511.362030029297,-5.79952058428556,-0.0863292142748833,-200.664245605469,0.000820902059786022,0,0,0,0
0.42,169,-461.785095214844,-5.17610615109426,-461.785095214844,-5.17610615109426,-1.93219220638275,-181.912445068359,0.000599589082412422,0,0,0,0
0.4225,170,-455.021942138672,-5.07752787923732,-455.021942138672,-5.07752787923732,-0.401663303375244,-178.262023925781,0.000437941489508376,0,0,0,0
0.425,171,-460.224487304688,-5.15367071406536,-460.224487304688,-5.15367071406536,-1.99774372577667,-181.273910522461,0.000319873652188107,0,0,0,0
0.4275,172,-416.862243652344,-4.4532609376162,-416.862243652344,-4.4532609376162,-0.415290117263794,-162.953903198242,6.42436207272112e-05,0,0,0,0
0.43,173,-410.730590820312,-4.34204577896381,-410.730590820312,-4.34204577896381,-0.0863303318619728,-160.279663085938,-0.000122469253255986,0,0,0,0
0.4325,174,-358.707885742188,-3.29232873121112,-358.707885742188,-3.29232873121112,-1.93219244480133,-140.555679321289,-0.000428237806772813,0,0,0,0
